source|relation|target
Praktikum Bioorganische Chemie|Veranstaltung von|Lehrstuhl Bioorganische Chemie
Praktikum Bioorganische Chemie I|Vorlesungsnummer|24120
Praktikum Bioorganische Chemie I|Veranstaltungsart|Praktikum
Praktikum Bioorganische Chemie I|Dozent|Carlo Unverzagt
Praktikum Bioorganische Chemie I|Veranstaltung von|Lehrstuhl Bioorganische Chemie
Praktikum Biophysikalische Chemie – Mehrdimensionale NMR-Spektroskopie|Vorlesungsnummer|23432
Praktikum Biophysikalische Chemie – Mehrdimensionale NMR-Spektroskopie|Veranstaltungsart|Praktikum
Praktikum Biophysikalische Chemie – Mehrdimensionale NMR-Spektroskopie|Dozent|Kristian Schweimer
Praktikum Biophysikalische Chemie – Mehrdimensionale NMR-Spektroskopie|Veranstaltung von|Lehrstuhl Biochemie IV
Praktikum Chemie für Physiker|Vorlesungsnummer|27135
Praktikum Chemie für Physiker|Veranstaltungsart|Praktikum
Praktikum Chemie für Physiker|Dozent|Christian Neuber
Praktikum Chemie für Physiker|Veranstaltung von|Lehrstuhl Makromolekulare Chemie I
Praktikum Einführung in die Kolloidchemie (Wahlpflichtmodul)|Vorlesungsnummer|23222
Praktikum Einführung in die Kolloidchemie (Wahlpflichtmodul)|Veranstaltungsart|Praktikum
Praktikum Einführung in die Kolloidchemie (Wahlpflichtmodul)|Dozent|Nicolas Helfricht
Praktikum Einführung in die Kolloidchemie (Wahlpflichtmodul)|Veranstaltung von|Lehrstuhl für Physikalische Chemie III
Praktikum Einführung in die Polymertechnologie (Bachelor Polymer- und Kolloidchemie)|Vorlesungsnummer|23331
Praktikum Einführung in die Polymertechnologie (Bachelor Polymer- und Kolloidchemie)|Veranstaltungsart|Praktikum
Praktikum Einführung in die Polymertechnologie (Bachelor Polymer- und Kolloidchemie)|Dozent|Volker Altstädt
Praktikum Einführung in die Polymertechnologie (Bachelor Polymer- und Kolloidchemie)|Veranstaltung von|Lehrstuhl Makromolekulare Chemie I
Praktikum Feste Anorganische Materialien: Eigenschaften und Anwendungen|Vorlesungsnummer|24201
Praktikum Feste Anorganische Materialien: Eigenschaften und Anwendungen|Veranstaltungsart|Praktikum
Praktikum Feste Anorganische Materialien: Eigenschaften und Anwendungen|Dozent|Josef Breu
Praktikum Feste Anorganische Materialien: Eigenschaften und Anwendungen|Veranstaltung von|Chair of Inorganic Chemistry I
Praktikum Forschungsmodul I (M.Sc. BCMB)|Vorlesungsnummer|00121
Praktikum Forschungsmodul I (M.Sc. BCMB)|Veranstaltungsart|Praktikum
Praktikum Forschungsmodul I (M.Sc. BCMB)|Dozent|Taina Conrad
Praktikum Forschungsmodul I (M.Sc. BCMB)|Veranstaltung von|Lehrstuhl Evolutionäre Tierökologie
Praktikum Forschungsmodul I (M.Sc. BCMB)|Vorlesungsnummer|00432
Praktikum Forschungsmodul I (M.Sc. BCMB)|Veranstaltungsart|Praktikum
Praktikum Forschungsmodul I (M.Sc. BCMB)|Dozent|Andreas Möglich
Praktikum Forschungsmodul I (M.Sc. BCMB)|Veranstaltung von|Professur Biochemie II
Praktikum Forschungsmodul I (M.Sc. BCMB)|Vorlesungsnummer|24181
Praktikum Forschungsmodul I (M.Sc. BCMB)|Veranstaltungsart|Praktikum
Praktikum Forschungsmodul I (M.Sc. BCMB)|Dozent|Clemens Steegborn
Praktikum Forschungsmodul I (M.Sc. BCMB)|Veranstaltung von|Lehrstuhl Biochemie I
Praktikum Forschungsmodul I (M.Sc. BCMB)|Vorlesungsnummer|00305
Praktikum Forschungsmodul I (M.Sc. BCMB)|Veranstaltungsart|Praktikum
Praktikum Forschungsmodul I (M.Sc. BCMB)|Dozent|Andreas Römpp
Praktikum Forschungsmodul I (M.Sc. BCMB)|Veranstaltung von|Lehrstuhl Bioanalytik und Lebensmittelanalytik
Praktikum Forschungsmodul I (M.Sc. BCMB)|Vorlesungsnummer|00642
Praktikum Forschungsmodul I (M.Sc. BCMB)|Veranstaltungsart|Praktikum
Praktikum Forschungsmodul I (M.Sc. BCMB)|Dozent|Claus-Dieter Kuhn
Praktikum Forschungsmodul I (M.Sc. BCMB)|Veranstaltung von|ENB - Macromolecular Science: AG Structural Basis of Gene Regulation by Non-Coding RNA
Praktikum Forschungsmodul I (M.Sc. BCMB)|Vorlesungsnummer|00482
Praktikum Forschungsmodul I (M.Sc. BCMB)|Veranstaltungsart|Praktikum
Praktikum Forschungsmodul I (M.Sc. BCMB)|Dozent|Matthias Ullmann
Praktikum Forschungsmodul I (M.Sc. BCMB)|Veranstaltung von|Professur Biochemie V
Praktikum Forschungsmodul I (M.Sc. BCMB)|Vorlesungsnummer|00411
Praktikum Forschungsmodul I (M.Sc. BCMB)|Veranstaltungsart|Praktikum
Praktikum Forschungsmodul I (M.Sc. BCMB)|Dozent|Birte Höcker
Praktikum Forschungsmodul I (M.Sc. BCMB)|Veranstaltung von|Professur Biochemie III
Praktikum Forschungsmodul I (M.Sc. MolÖk)|Vorlesungsnummer|00698
Praktikum Forschungsmodul I (M.Sc. MolÖk)|Veranstaltungsart|Praktikum
Praktikum Forschungsmodul I (M.Sc. MolÖk)|Dozent|Christian Laforsch
Praktikum Forschungsmodul I (M.Sc. MolÖk)|Veranstaltung von|Lehrstuhl Tierökologie I
Praktikum Forschungsmodul I (M.Sc. MolÖk)|Vorlesungsnummer|00125
Praktikum Forschungsmodul I (M.Sc. MolÖk)|Veranstaltungsart|Praktikum
Praktikum Forschungsmodul I (M.Sc. MolÖk)|Dozent|Taina Conrad
Praktikum Forschungsmodul I (M.Sc. MolÖk)|Veranstaltung von|Lehrstuhl Evolutionäre Tierökologie
Praktikum Forschungsmodul I (M.Sc. MolÖk)|Vorlesungsnummer|20899
Praktikum Forschungsmodul I (M.Sc. MolÖk)|Veranstaltungsart|Praktikum
Praktikum Forschungsmodul I (M.Sc. MolÖk)|Dozent|Bettina Engelbrecht
Praktikum Forschungsmodul I (M.Sc. MolÖk)|Veranstaltung von|Professur Pflanzenökologie
Praktikum Forschungsmodul I (M.Sc. MolÖk)|Vorlesungsnummer|00397
Praktikum Forschungsmodul I (M.Sc. MolÖk)|Veranstaltungsart|Praktikum
Praktikum Forschungsmodul I (M.Sc. MolÖk)|Dozent|Heike Feldhaar
Praktikum Forschungsmodul I (M.Sc. MolÖk)|Veranstaltung von|Professur Populationsökologie der Tiere
Praktikum Forschungsmodul I (M.Sc. MolÖk)|Vorlesungsnummer|00338
Praktikum Forschungsmodul I (M.Sc. MolÖk)|Veranstaltungsart|Praktikum
Praktikum Forschungsmodul I (M.Sc. MolÖk)|Dozent|Andreas Römpp
Praktikum Forschungsmodul I (M.Sc. MolÖk)|Veranstaltung von|Lehrstuhl Bioanalytik und Lebensmittelanalytik
Praktikum Forschungsmodul I (M.Sc. MolÖk)|Vorlesungsnummer|01080
Praktikum Forschungsmodul I (M.Sc. MolÖk)|Veranstaltungsart|Praktikum
Praktikum Forschungsmodul I (M.Sc. MolÖk)|Dozent|Steven Higgins
Praktikum Forschungsmodul I (M.Sc. MolÖk)|Veranstaltung von|Lehrstuhl Pflanzenökologie
Praktikum Forschungsmodul II (M. Sc. MolÖk)|Vorlesungsnummer|20683
Praktikum Forschungsmodul II (M. Sc. MolÖk)|Veranstaltungsart|Praktikum
Praktikum Forschungsmodul II (M. Sc. MolÖk)|Dozent|Gerhard Rambold
Praktikum Forschungsmodul II (M. Sc. MolÖk)|Veranstaltung von|Professur Mykologie
Praktikum Forschungsmodul II (M.Sc. BCMB)|Vorlesungsnummer|26082
Praktikum Forschungsmodul II (M.Sc. BCMB)|Veranstaltungsart|Praktikum
Praktikum Forschungsmodul II (M.Sc. BCMB)|Dozent|Anna Schenk
Praktikum Forschungsmodul II (M.Sc. BCMB)|Veranstaltung von|Lehrstuhl für Physikalische Chemie III
Praktikum Forschungsmodul II (M.Sc. BCMB)|Vorlesungsnummer|00484
Praktikum Forschungsmodul II (M.Sc. BCMB)|Veranstaltungsart|Praktikum
Praktikum Forschungsmodul II (M.Sc. BCMB)|Dozent|Matthias Ullmann
Praktikum Forschungsmodul II (M.Sc. BCMB)|Veranstaltung von|Professur Biochemie V
Praktikum Forschungsmodul II (M.Sc. BCMB)|Vorlesungsnummer|00019
Praktikum Forschungsmodul II (M.Sc. BCMB)|Veranstaltungsart|Praktikum
Praktikum Forschungsmodul II (M.Sc. BCMB)|Dozent|Andreas Römpp
Praktikum Forschungsmodul II (M.Sc. BCMB)|Veranstaltung von|Lehrstuhl Bioanalytik und Lebensmittelanalytik
Praktikum Forschungsmodul II (M.Sc. BCMB)|Vorlesungsnummer|24186
Praktikum Forschungsmodul II (M.Sc. BCMB)|Veranstaltungsart|Praktikum
Praktikum Forschungsmodul II (M.Sc. BCMB)|Dozent|Clemens Steegborn
Praktikum Forschungsmodul II (M.Sc. BCMB)|Veranstaltung von|Lehrstuhl Biochemie I
Praktikum Forschungsmodul II (M.Sc. BCMB)|Vorlesungsnummer|00517
Praktikum Forschungsmodul II (M.Sc. BCMB)|Veranstaltungsart|Praktikum
Praktikum Forschungsmodul II (M.Sc. BCMB)|Dozent|Claus-Dieter Kuhn
Praktikum Forschungsmodul II (M.Sc. BCMB)|Veranstaltung von|ENB - Macromolecular Science: AG Structural Basis of Gene Regulation by Non-Coding RNA
Praktikum Forschungsmodul II (M.Sc. BCMB)|Vorlesungsnummer|00326
Praktikum Forschungsmodul II (M.Sc. BCMB)|Veranstaltungsart|Praktikum
Praktikum Forschungsmodul II (M.Sc. BCMB)|Dozent|Taina Conrad
Praktikum Forschungsmodul II (M.Sc. BCMB)|Veranstaltung von|Lehrstuhl Evolutionäre Tierökologie
Praktikum Forschungsmodul II (M.Sc. BCMB)|Vorlesungsnummer|00434
Praktikum Forschungsmodul II (M.Sc. BCMB)|Veranstaltungsart|Praktikum
Praktikum Forschungsmodul II (M.Sc. BCMB)|Dozent|Andreas Möglich
Praktikum Forschungsmodul II (M.Sc. BCMB)|Veranstaltung von|Professur Biochemie II
Praktikum Forschungsmodul II (M.Sc. BCMB)|Vorlesungsnummer|00413
Praktikum Forschungsmodul II (M.Sc. BCMB)|Veranstaltungsart|Praktikum
Praktikum Forschungsmodul II (M.Sc. BCMB)|Dozent|Birte Höcker
Praktikum Forschungsmodul II (M.Sc. BCMB)|Veranstaltung von|Professur Biochemie III
Praktikum Forschungsmodul II (M.Sc. MolÖk)|Vorlesungsnummer|20900
Praktikum Forschungsmodul II (M.Sc. MolÖk)|Veranstaltungsart|Praktikum
Praktikum Forschungsmodul II (M.Sc. MolÖk)|Dozent|Bettina Engelbrecht
Praktikum Forschungsmodul II (M.Sc. MolÖk)|Veranstaltung von|Professur Pflanzenökologie
Praktikum Forschungsmodul II (M.Sc. MolÖk)|Vorlesungsnummer|00331
Praktikum Forschungsmodul II (M.Sc. MolÖk)|Veranstaltungsart|Praktikum
Praktikum Forschungsmodul II (M.Sc. MolÖk)|Dozent|Taina Conrad
Praktikum Forschungsmodul II (M.Sc. MolÖk)|Veranstaltung von|Lehrstuhl Evolutionäre Tierökologie
Praktikum Forschungsmodul II (M.Sc. MolÖk)|Vorlesungsnummer|00699
Praktikum Forschungsmodul II (M.Sc. MolÖk)|Veranstaltungsart|Praktikum
Praktikum Forschungsmodul II (M.Sc. MolÖk)|Dozent|Christian Laforsch
Praktikum Forschungsmodul II (M.Sc. MolÖk)|Veranstaltung von|Lehrstuhl Tierökologie I
Praktikum Forschungsmodul II (M.Sc. MolÖk)|Vorlesungsnummer|01094
Praktikum Forschungsmodul II (M.Sc. MolÖk)|Veranstaltungsart|Praktikum
Praktikum Forschungsmodul II (M.Sc. MolÖk)|Dozent|Steven Higgins
Praktikum Forschungsmodul II (M.Sc. MolÖk)|Veranstaltung von|Lehrstuhl Pflanzenökologie
Praktikum Forschungsmodul II (M.Sc. MolÖk)|Vorlesungsnummer|00339
Praktikum Forschungsmodul II (M.Sc. MolÖk)|Veranstaltungsart|Praktikum
Praktikum Forschungsmodul II (M.Sc. MolÖk)|Dozent|Andreas Römpp
Praktikum Forschungsmodul II (M.Sc. MolÖk)|Veranstaltung von|Lehrstuhl Bioanalytik und Lebensmittelanalytik
Praktikum Forschungsmodul II (M.Sc. MolÖk)|Vorlesungsnummer|00399
Praktikum Forschungsmodul II (M.Sc. MolÖk)|Veranstaltungsart|Praktikum
Praktikum Forschungsmodul II (M.Sc. MolÖk)|Dozent|Heike Feldhaar
Praktikum Forschungsmodul II (M.Sc. MolÖk)|Veranstaltung von|Professur Populationsökologie der Tiere
Praktikum Fortgeschrittene Physikalische Chemie (Wahlpflicht)|Vorlesungsnummer|23232
Praktikum Fortgeschrittene Physikalische Chemie (Wahlpflicht)|Veranstaltungsart|Praktikum
Praktikum Fortgeschrittene Physikalische Chemie (Wahlpflicht)|Dozent|Roland Marschall
Praktikum Fortgeschrittene Physikalische Chemie (Wahlpflicht)|Veranstaltung von|Lehrstuhl für Physikalische Chemie III
Praktikum: Hochleistungspolymere (Modul P 202)|Vorlesungsnummer|24011
Praktikum: Hochleistungspolymere (Modul P 202)|Veranstaltungsart|Praktikum
Praktikum: Hochleistungspolymere (Modul P 202)|Dozent|Seema Agarwal
Praktikum: Hochleistungspolymere (Modul P 202)|Veranstaltung von|Professur Angewandte Funktionspolymere
Praktikum Instrumentelle Analytik|Vorlesungsnummer|23301
Praktikum Instrumentelle Analytik|Veranstaltungsart|Praktikum
Praktikum Instrumentelle Analytik|Dozent|Jürgen Senker
Praktikum Instrumentelle Analytik|Veranstaltung von|Inorganic Chemistry III
Praktikum Katalysatordesign|Vorlesungsnummer|24061
Praktikum Katalysatordesign|Veranstaltungsart|Praktikum
Praktikum Katalysatordesign|Dozent|Torsten Irrgang
Praktikum Katalysatordesign|Veranstaltung von|Inorganic Chemistry II
Praktikum Katalysatordesign|Vorlesungsnummer|00179
Praktikum Katalysatordesign|Veranstaltungsart|Praktikum
Praktikum Katalysatordesign|Dozent|Rhett Kempe
Praktikum Katalysatordesign|Veranstaltung von|Inorganic Chemistry II
Praktikum: Lebensmittelchemie und -analytik|Vorlesungsnummer|00110
Praktikum: Lebensmittelchemie und -analytik|Veranstaltungsart|Praktikum
Praktikum: Lebensmittelchemie und -analytik|Dozent|Frank Hahn
Praktikum: Lebensmittelchemie und -analytik|Veranstaltung von|Lehrstuhl Bioanalytik und Lebensmittelanalytik
Praktikum Makromolekulare Chemie|Vorlesungsnummer|23142
Praktikum Makromolekulare Chemie|Veranstaltungsart|Praktikum
Praktikum Makromolekulare Chemie|Dozent|Andreas Greiner
Praktikum Makromolekulare Chemie|Veranstaltung von|Lehrstuhl Makromolekulare Chemie I
Praktikum Modul PC II|Vorlesungsnummer|23122
Praktikum Modul PC II|Veranstaltungsart|Praktikum
Praktikum Modul PC II|Dozent|Wolfgang Häfner
Praktikum Modul PC II|Veranstaltung von|Lehrstuhl für Physikalische Chemie III
Praktikum Molekulare Mechanismen der Anpassung von Pflanzen|Vorlesungsnummer|20442
Praktikum Molekulare Mechanismen der Anpassung von Pflanzen|Veranstaltungsart|Praktikum
Praktikum Molekulare Mechanismen der Anpassung von Pflanzen|Dozent|Maria Klecker
Praktikum Molekulare Mechanismen der Anpassung von Pflanzen|Veranstaltung von|Lehrstuhl Pflanzenphysiologie
Praktikum Naturstoffchemie: Biosynthesen und Strukturen (AK Unverzagt)|Vorlesungsnummer|00355
Praktikum Naturstoffchemie: Biosynthesen und Strukturen (AK Unverzagt)|Veranstaltungsart|Praktikum
Praktikum Naturstoffchemie: Biosynthesen und Strukturen (AK Unverzagt)|Dozent|Carlo Unverzagt
Praktikum Naturstoffchemie: Biosynthesen und Strukturen (AK Unverzagt)|Veranstaltung von|Lehrstuhl Bioorganische Chemie
Praktikum Naturstoffchemie: Biosynthesen und Strukturen (kurzes Praktikum) (AK Hahn)|Vorlesungsnummer|00645
Praktikum Naturstoffchemie: Biosynthesen und Strukturen (kurzes Praktikum) (AK Hahn)|Veranstaltungsart|Praktikum
Praktikum Naturstoffchemie: Biosynthesen und Strukturen (kurzes Praktikum) (AK Hahn)|Dozent|Frank Hahn
Praktikum Naturstoffchemie: Biosynthesen und Strukturen (kurzes Praktikum) (AK Hahn)|Veranstaltung von|VWL VIII: International Competition Policy
Praktikum Naturstoffchemie: Biosynthesen und Strukturen (langes Praktikum) (AK Hahn)|Vorlesungsnummer|00665
Praktikum Naturstoffchemie: Biosynthesen und Strukturen (langes Praktikum) (AK Hahn)|Veranstaltungsart|Praktikum
Praktikum Naturstoffchemie: Biosynthesen und Strukturen (langes Praktikum) (AK Hahn)|Dozent|Frank Hahn
Praktikum Naturstoffchemie: Biosynthesen und Strukturen (langes Praktikum) (AK Hahn)|Veranstaltung von|VWL VIII: International Competition Policy
Praktikum Polymerarchitekturen|Vorlesungsnummer|24002
Praktikum Polymerarchitekturen|Veranstaltungsart|Praktikum
Praktikum Polymerarchitekturen|Dozent|Seema Agarwal
Praktikum Polymerarchitekturen|Veranstaltung von|Lehrstuhl Makromolekulare Chemie II
Praktikum Spezielle Naturstoffchemie (AK Unverzagt)|Vorlesungsnummer|00796
Praktikum Spezielle Naturstoffchemie (AK Unverzagt)|Veranstaltungsart|Praktikum
Praktikum Spezielle Naturstoffchemie (AK Unverzagt)|Dozent|Carlo Unverzagt
Praktikum Spezielle Naturstoffchemie (AK Unverzagt)|Veranstaltung von|Lehrstuhl Bioorganische Chemie
Praktikum Spezielle Naturstoffchemie BCMB (AK Hahn)|Vorlesungsnummer|00738
Praktikum Spezielle Naturstoffchemie BCMB (AK Hahn)|Veranstaltungsart|Praktikum
Praktikum Spezielle Naturstoffchemie BCMB (AK Hahn)|Dozent|Frank Hahn
Praktikum Spezielle Naturstoffchemie BCMB (AK Hahn)|Veranstaltung von|VWL VIII: International Competition Policy
Praktikum Spezielle Naturstoffchemie (kurzes Praktikum) (AK Schobert)|Vorlesungsnummer|00099
Praktikum Spezielle Naturstoffchemie (kurzes Praktikum) (AK Schobert)|Veranstaltungsart|Praktikum
Praktikum Spezielle Naturstoffchemie (kurzes Praktikum) (AK Schobert)|Dozent|Rainer Schobert
Praktikum Spezielle Naturstoffchemie (kurzes Praktikum) (AK Schobert)|Veranstaltung von|Lehrstuhl Organische Chemie I
Praktikum Spezielle Naturstoffchemie (kurzes Praktikum) (AK Unverzagt)|Vorlesungsnummer|00130
Praktikum Spezielle Naturstoffchemie (kurzes Praktikum) (AK Unverzagt)|Veranstaltungsart|Praktikum
Praktikum Spezielle Naturstoffchemie (kurzes Praktikum) (AK Unverzagt)|Dozent|Carlo Unverzagt
Praktikum Spezielle Naturstoffchemie (kurzes Praktikum) (AK Unverzagt)|Veranstaltung von|Lehrstuhl Bioorganische Chemie
Praktikum Spezielle Naturstoffchemie (kurzes Praktikum) (AK_Breuning)|Vorlesungsnummer|24301
Praktikum Spezielle Naturstoffchemie (kurzes Praktikum) (AK_Breuning)|Veranstaltungsart|Praktikum
Praktikum Spezielle Naturstoffchemie (kurzes Praktikum) (AK_Breuning)|Dozent|Matthias Breuning
Praktikum Spezielle Naturstoffchemie (kurzes Praktikum) (AK_Breuning)|Veranstaltung von|Professur Organische Chemie I/2
Praktikum Spezielle Naturstoffchemie (kurzes Praktikum) (AK_Hahn)|Vorlesungsnummer|00582
Praktikum Spezielle Naturstoffchemie (kurzes Praktikum) (AK_Hahn)|Veranstaltungsart|Praktikum
Praktikum Spezielle Naturstoffchemie (kurzes Praktikum) (AK_Hahn)|Dozent|Frank Hahn
Praktikum Spezielle Naturstoffchemie (kurzes Praktikum) (AK_Hahn)|Veranstaltung von|VWL VIII: International Competition Policy
Praktikum Spezielle Naturstoffchemie (langes Praktikum) (AK Breuning)|Vorlesungsnummer|00126
Praktikum Spezielle Naturstoffchemie (langes Praktikum) (AK Breuning)|Veranstaltungsart|Praktikum
Praktikum Spezielle Naturstoffchemie (langes Praktikum) (AK Breuning)|Dozent|Matthias Breuning
Praktikum Spezielle Naturstoffchemie (langes Praktikum) (AK Breuning)|Veranstaltung von|Professur Organische Chemie I/2
Praktikum Spezielle Naturstoffchemie (langes Praktikum) (AK Hahn)|Vorlesungsnummer|00624
Praktikum Spezielle Naturstoffchemie (langes Praktikum) (AK Hahn)|Veranstaltungsart|Praktikum
Praktikum Spezielle Naturstoffchemie (langes Praktikum) (AK Hahn)|Dozent|Frank Hahn
Praktikum Spezielle Naturstoffchemie (langes Praktikum) (AK Hahn)|Veranstaltung von|VWL VIII: International Competition Policy
Praktikum Spezielle Naturstoffchemie (langes Praktikum) (AK Schobert)|Vorlesungsnummer|00161
Praktikum Spezielle Naturstoffchemie (langes Praktikum) (AK Schobert)|Veranstaltungsart|Praktikum
Praktikum Spezielle Naturstoffchemie (langes Praktikum) (AK Schobert)|Dozent|Rainer Schobert
Praktikum Spezielle Naturstoffchemie (langes Praktikum) (AK Schobert)|Veranstaltung von|Lehrstuhl Organische Chemie I
